method,lambda,seed,cap,alpha,fairness_type,n_train,test_regret_normalized,test_fairness,test_pred_mse
FDFL,0.0,33,mlp128,2.0,mad,50,0.1281445226938742,5551.77183633024,13338.368189413512
FDFL,1.0,33,mlp128,2.0,mad,50,0.1291218319569149,39.468331416552914,204.3180397579243
FDFL,0.0,44,mlp128,2.0,mad,50,0.1277767020544539,6984.101476497901,24234.914138118747
FDFL,1.0,44,mlp128,2.0,mad,50,0.12705481799825,11.725087797278157,153.32499655506953
FDFL,0.0,55,mlp128,2.0,mad,50,0.1274766265375868,2516.250270702197,4820.392188760204
FDFL,1.0,55,mlp128,2.0,mad,50,0.1285619073316748,31.034142466972053,135.48600278998498
FPLG,0.0,11,mlp128,2.0,mad,50,0.1343221914053946,25.111196464585483,122.04155798844144
FPLG,1.0,11,mlp128,2.0,mad,50,0.1336773690657325,26.53534596512451,125.60959494945438
FPLG,0.0,22,mlp128,2.0,mad,50,0.1277978269570415,24.92904841623238,125.5838899511516
FPLG,1.0,22,mlp128,2.0,mad,50,0.1294007539229282,22.74689230550771,131.92416269075525
FPLG,0.0,33,mlp128,2.0,mad,50,0.1310010631793956,20.24209614449672,122.532625127875
FPLG,1.0,33,mlp128,2.0,mad,50,0.1305114085921724,17.987104691282866,123.18187402214518
FPLG,0.0,44,mlp128,2.0,mad,50,0.1297972324070541,18.13514148140212,116.47931135965028
FPLG,1.0,44,mlp128,2.0,mad,50,0.1294757607815735,19.331895028516904,119.2923198863983
FPLG,0.0,55,mlp128,2.0,mad,50,0.1286016554891212,27.70764051485187,121.46231321837986
FPLG,1.0,55,mlp128,2.0,mad,50,0.1306159403939412,26.30372776998989,121.48875636071332
FPTO,0.0,11,mlp128,2.0,mad,50,0.1439074850371864,22.04134518685984,121.9811007055044
FPTO,1.0,11,mlp128,2.0,mad,50,0.1461614322380495,21.50008159264116,125.04861380797792
FPTO,0.0,22,mlp128,2.0,mad,50,0.1368637858120723,20.06495801144492,119.0323062837386
FPTO,1.0,22,mlp128,2.0,mad,50,0.139546308120938,20.11609204783371,124.2252614695924
FPTO,0.0,33,mlp128,2.0,mad,50,0.1380424504613762,17.69571906163849,120.08650286329208
FPTO,1.0,33,mlp128,2.0,mad,50,0.1411545492559712,17.438889188908714,122.56735149933245
FPTO,0.0,44,mlp128,2.0,mad,50,0.1365240424258348,18.08867817946935,117.09987165143954
